Market Participant ID,Market Participant Name
GDEF,Effective Energy Solutions Ltd
GDEG,Egnida Limited
GDEH,ECO Home Alternatives Ltd
GDEI,Elite Supplies Ltd
GDEJ,EcoJoules Ltd
GDEK,Efficient Finance (UK) Ltd
GDEL,Energy With Limited
GDEM,Empower Community
GDEN,Enhance Energy Ltd
GDEO,Gdeco Ltd
GDEP,Go-Green Energy (Group) Ltd
GDER,Encraft
GDES,Green Deal Energy Services UK
GDET,Energy Trust
GDEU,Solar Europa Ltd
GDEV,EvoEnergy Ltd
GDEW,Efficient Warm Energy Limited
GDEX,Green Deal Express
GDEZ,Everwarm Ltd
GDFA,Green Energy Advisors Limited
GDFC,The Green Deal Finance Company
GDFG,1st Green Deal
GDFI,FITGAS Ltd
GDFL,Green Deal First Ltd
GDFO,Les Forshaw (Northern) Ltd
GDFP,Foster Property Maintenance
GDFR,Freedom Renewables Limited
GDFS,GDFC Services Limited
GDFU,Fusion Radiators Ltd
GDFW,Foster Renewable Energies Ltd
GDFY,Friendly Investment Company
GDGA,Green Assess
GDGB,Greenbury Energy Limited
GDGC,Green Deal Factory
GDGD,GDFC Assets Limited
GDGE,G8 Eco Systems Ltd
GDGF,Green Funding Ltd
GDGG,Grafton Group
GDGH,GHE Solar Ltd
GDGJ,Windows Plus
GDGK,Green Eco Grants Ltd
GDGL,Greendeal-Lynx
GDGM,Central Gas Maintenance Ltd
GDGN,Greenexo Limited
GDGO,Greenoke Energy Ltd
GDGP,SERS Energy Solutions Ltd
GDGR,Gr33n Energy
GDGS,Green Deal Savings Ltd
GDGT,Gentoo Group Ltd
GDGU,Green Energy Solutions UK Ltd
GDGV,Greenvision Energy Ltd
GDGW,Glasgow Green Global Limited
GDGY,Dyson Energy Services Ltd
GDGZ,GZ Energy Solutions
GDHA,Happy Energy
GDHE,HELMS Ltd
GDHF,Herbert T Forrest Ltd
GDHI,High Oak Green Investments Ltd
GDHL,Help-Link UK Limited
GDHM,Green Leaf Homes Ltd
GDHO,Housing Action Management Ltd
GDHP,MW Heating & Plumbing Ltd
GDHS,Halltech Electrical Services
GDHU,Home Energy UK
GDHW,Heatwave Energy Funding Ltd
GDIA,Green Deal Initiative Ltd
GDIE,Infinity Energy Org
GDIF,Incentive FM
GDIG,Insta Group
GDII,Ipex Investments
GDIL,A&M Energy Solutions Ltd
GDIM,BTU Installation & Maintenance
GDIN,Infinite Energy UK Ltd
GDIS,Inteb Sustainability Limited
GDIT,Isothane Ltd
GDKF,Kingfisher Future Homes
GDKL,Kernow Loans Ltd
GDKM,Keepmoat Ltd
GDKN,KNW Partnership Limited
GDKS,UKSS Renewable Energy Services
GDLC,Low Carbon Finance Ltd
GDLE,Local Energy
GDLH,STL Heating and Energy Ltd
GDLL,Larkfleet Ltd
GDLS,Sustain Ltd
GDLU,Ludu Energy Ltd
GDMB,Marshall Brown Energy Ltd
GDME,Merseyside Central Heating Ltd
GDMG,Mark Group Limited
GDMO,Move2Green Limited
GDMT,MEB Total Ltd
GDND,New Eco Developments Limited
GDNE,Nationwide Energy Consultants
GDNG,Network Green Deal Ltd
GDNH,British Gas Trading Limited
GDNN,Npower Northern Limited
GDNO,1 North Ltd
GDNP,NEIL_PITTAM_ELECTRICAL_LTD
GDNR,Northern Gas Heating Ltd
GDNW,Nationwide Solar Ltd
GDOB,1 Business Enterprise Ltd
GDOE,Osborne Energy Ltd
GDOG,OUR GENERATION LIMITED
GDOM,OM2 Solutions Ltd
GDON,One Green Place Ltd
GDOP,Opus Green Limited
GDOS,One Stop Energy Ltd
GDPC,PECT Consultancy Limited
GDPE,Physis Energy Ltd
GDPL,Complete Plumbing Clean Energy
GDPM,Plumb-Line Contracting Ltd
GDPN,Green Deal Provider Network
GDPO,Polyramek Energy Ltd
GDPR,Premier Energy Solutions Ltd
GDPS,Green Deal Property Services
GDPV,GDProvider Ltd
GDQU,Quodox Energy Ltd
GDRE,ReEnergise Finance Ltd.
GDRG,Rural Green Deal Ltd
GDRI,Renewable Infrastructure Ltd
GDRL,R.I.S. Insulation Ltd
GDRN,Renew Property
GDRP,The Ridgeway Partnership
GDRS,RateSetter
GDRX,Rexel UK Limited
GDSA,Sutton Solar & Renewables Ltd
GDSB,SEHBAC Ltd
GDSC,Scenergy Ltd
GDSD,Energy Save Direct Ltd
GDSE,G2V Solar Energy Solutions Ltd
GDSF,Safeguard Group
GDSH,The Green Deal Shop.com Ltd
GDSI,SIG GDP Company Ltd
GDSJ,Star Building Contractors Ltd
GDSK,Solar City Limited
GDSL,Servicetotal Ltd
GDSN,British Gas New Heating
GDSO,Solas Scotland Ltd
GDSP,SSE Green Deal Provider Ltd
GDSQ,Green Deal Providers Scotland
GDSR,Solus Renewable Energy Ltd
GDSS,Silverstone Green Energy Ltd
GDST,Stroma Group
GDSU,Centre for Sustainable Energy
GDSV,Severn Wye Energy Agency
GDSW,Solarwise Renewables Ltd
GDSX,Sunsource Energy Limited
GDSY,Gas Elec Safety Systems Ltd
GDSZ,British Gas New Heating
GDTA,Tameside Energy Services
GDTC,City Satellite Limited
GDTE,Tempo Insulation Services Ltd
GDTG,TIC Green Energy Limited
GDTM,Team 42 Ltd
GDTO,Toriga Energy
GDTP,Tees Property Solutions Ltd
GDTR,Toriga Energy Ltd
GDTS,Strathern Solutions Limited
GDUC,UCS Renewables
GDUK,UK Energy Partners Ltd
GDUN,Green Deal Union Ltd
GDUP,Green Deal Upgrade Limited
GDUS,Utd Sustainable Energy Agency
GDVC,Save Co2 Limited
GDVG,Green Vision Energy Limited
GDVO,Volta Green Deal
GDWB,Wetherby Building Systems Ltd
GDWD,Willmott Dixon Energy Services
GDWE,Warmer Energy Services Ltd
GDWF,Warmfill Limited
GDWG,The Warmer Group Ltd
GDWH,Warmer Home Finance Ltd
GDWI,Willerby Energy Organisation
GDWR,WhiteGold Renewables Ltd
GDWS,Westdale Services Limited
GDWU,Wolseley UK
GDWW,Work Work Ltd
GDXP,Xenon Professionals Ltd
GDYE,Yorkshire Energy Group
GDYG,Your Green Deal Provider Ltd
GETW,Utilita Energy Limited
GLAC,The Gas Light & Coke Company
GMTR,GAZPROM M & T RETAIL LTD
GNRG,Garsington Energy Limited
GREN,Greenwich Energy Trading Ltd
GUCL,Energetics Electricity Ltd
GYPL,Great Yarmouth Power Limited
HARL,HARLAXTON ENERGY NETWORKS LTD
HAVE,Haven Power Limited
HEEL,Hydro Electric Energy Ltd
HELE,SSE Energy Limited
HMAR,TXU Europe High Marnham Ltd
HOLB,Holborn Energy Limited
HPES,HP Enterprise Services UK LTD
HPOW,Haven Power Limited
HUDS,Hudson Energy Supply UK Ltd
HUMB,Humber Power Ltd
HYDE,Scottish Hydro Electric plc
ICPL,ICI Chemicals and Polymers
ICTL,ICTIS (UK) Ltd
IMPH,Atlantic Energy UK PLC
IMPO,Atlantic Electric & Gas Ltd
IMPX,Impkemix Energy Ltd
INDE,Independent Energy NHH
INDQ,Indian Queens Power Ltd
INDX,Independent Energy HH
IPNL,Independent Power Networks Ltd
IRON,TXU Europe Ironbridge Ltd
ITRI,Itron Metering Solutions UK
JERE,Hudson Energy Supply UK Ltd
JETS,Jetstream Energy Supply Ltd
KEAD,Keadby Generation
KENS,Kensington Power Limited
KEPL,Keadby Power Ltd
KNPL,Kingsnorth Power Ltd
LAKE,Lakeland Power Ltd
LBSL,Lowri Beck Services Ltd
LCMG,LogicaCMG (UK) Ltd.
LECL,London Energy Company Limited
LENC,Lenco
LENG,ESP Electricity Limited
LIGH,MVV Environment Services Ltd
LOND,EDF Energy plc
LORM,Epower Supply Ltd
LUME,GNERGY Limited
MAEL,MA Energy Ltd
MAET,MA Energy Ltd
MAGN,DONG Energy Power Sales UK Ltd
