Chellow DNO Id,Meter Timeswitch Class Id,Meter Timeswitch Class Description,Has Related Meter?,Has Comms?,Is HH?,Meter Type Chellow Id,Meter Payment Type Chellow Id,MTC TPR Count,Effective From Settlement Date {MTC},Effective To Settlement Date {MTC}
,500,NHH Unrestricted 1-rate Non-Prog Credit Meter,1,0,0,17,1,1,1996-04-01,
,501,NHH Unrestricted 1-rate Prog Credit Meter,1,0,0,18,1,1,1996-04-01,
,502,Related Unmetered Continuous - Flat Profile,1,0,0,16,1,2,1996-04-01,
,503,Related Unmetered Dawn to Dusk,1,0,0,16,1,2,1996-04-01,
,504,Related Unmetered Dusk to Dawn,1,0,0,16,1,2,1996-04-01,
,505,Related Unmetered Half Night And Pre-Dawn,1,0,0,16,1,2,1996-04-01,
,506,Unmetered Reserved - Site Specific,1,0,0,16,1,,1996-04-01,
,800,Temporary - No Meter,0,0,0,11,4,,1996-04-01,
,801,NHH Unrestricted 1-rate Non-Prog Credit Meter,0,0,0,17,1,1,1996-04-01,
,802,NHH Unrestricted 1-rate Prog Credit Meter,0,0,0,18,1,1,1996-04-01,
,803,NHH 2-rate 7hrs Night Non-Prog T/S,0,0,0,14,1,2,1996-04-01,
,804,NHH 2-rate 7hrs Night Prog T/S,0,0,0,15,1,2,1996-04-01,
,805,NHH 2-rate 7hrs Night Non-Prog RTS,0,0,0,8,1,2,1996-04-01,
,806,NHH 2-rate 7hrs Night Prog RTS,0,0,0,9,1,2,1996-04-01,
,807,NHH 7hr E7 GMT Non-Prog T/S,0,0,0,14,1,2,1996-04-01,
,808,NHH 7hr E7 GMT Prog T/S,0,0,0,15,1,2,1996-04-01,
,809,NHH 7hr E7 GMT Non-Prog RTS,0,0,0,8,1,2,1996-04-01,
,810,NHH 7hr E7 GMT Prog RTS,0,0,0,9,1,2,1996-04-01,
,811,NHH 7hr E7 GMT Non-Prog T/S,0,0,0,14,1,2,1996-04-01,
,812,NHH 7hr E7 GMT Prog T/S,0,0,0,15,1,2,1996-04-01,
,813,NHH 7hr E7 Clocktime Non-Prog RTS,0,0,0,8,1,2,1996-04-01,
,814,NHH 7hr E7 GMT Non-Prog RTS,0,0,0,8,1,2,1996-04-01,
,815,NHH 7hr E7 GMT Prog RTS,0,0,0,9,1,2,1996-04-01,
,816,7hr E7 00:30-07:30 Clocktime Non-Prog T/S,0,0,0,14,1,2,1996-04-01,
,817,7hr E7 00:30-07:30 Clocktime Prog T/S,0,0,0,15,1,2,1996-04-01,
,818,7hr Off Peak - GMT Non-Prog T/S,0,0,0,14,1,1,1996-04-01,
,819,7hr Off Peak - GMT Prog T/S,0,0,0,15,1,1,1996-04-01,
,820,8hr Night (2-rate) GMT - Non-Prog T/S,0,0,0,14,1,2,1996-04-01,
,821,8hr Night (2-rate) GMT - Prog T/S,0,0,0,15,1,2,1996-04-01,
,822,8hr OP 23:00-07:00 GMT Non-Prog T/S,0,0,0,14,1,1,1996-04-01,
,823,8hr OP 23:00-07:00 GMT Prog T/S,0,0,0,15,1,1,1996-04-01,
,824,8hr Off Peak GMT - Non-Prog T/S,0,0,0,14,1,1,1996-04-01,
