Chellow Id,MTC Payment Type Id,MTC Payment Type Description,Effective From Settlement Date {MPT},Effective To Settlement Date {MPT}
1,CR,Credit,1996-04-01,
2,KM,Key,1996-04-01,
3,KP,PRI Keypad Metering,2005-06-03,
4,OS,Other/Not Supported,1996-04-01,
5,PL,Power Line Carrier,1996-04-01,
6,SM,Smart Card,1996-04-01,
7,TL,Token - Large,1996-04-01,
8,TS,Token - Small,1996-04-01,
