Chellow Id,Market Participant Id,Market Participant Name
172,ONSA,OnStream
173,ONSE,OnStream
174,ONST,"UMSL, trading as OnStream"
175,OVOE,OVO Electricity Limited
176,OXPO,Opus Energy Limited
177,PCHP,PowerGen Combined Heat & Power
178,PDAL,Power Data Associates Ltd
179,PETE,Peterborough Power Ltd
180,PETX,Pentex (East Midlands) Ltd
181,PGEN,Powergen
182,PLEX,PLEXUS TECHNOLOGY LIMITED
183,PLUS,MeterPlus
184,POML,Powermet Ltd
185,POOL,ELEXON Limited
186,PRIM,PRI Ltd
187,PRIP,PRI Ltd
188,PURE,Good Energy Limited
189,RBOS,Royal Bank of Scotland
190,REGP,Regional Power Generators
191,RENC,Renewable Energy Company
192,RGAS,Regent Gas
193,ROCK,Rocksavage Power Company Ltd
194,RUGE,TXU Europe Rugeley Ltd
195,RWED,GDF SUEZ Marketing Ltd
196,SCHL,Schlumberger Industries Ltd
197,SCPL,South Coast Power Limited
198,SEAB,Seabank Power Limited
199,SECL,Spalding Energy Company Ltd
200,SECU,Secus Ltd
201,SEEB,EDF Energy plc
202,SEEL,Sempra Energy Europe Limited
203,SEOA,Scottish & Southern Energy Plc
204,SESL,Scottish Electricity Settlemen
205,SHEL,Shell Power Ltd
206,SIEM,Siemens Metering Services
207,SLOU,Slough Energy Supplies Ltd
208,SMAL,SmartestEnergy Limited
209,SMAR,SmartestEnergy Limited
210,SNCL,Stanor National Contracts Ltd
211,SOUT,Southern Electric plc
212,SPOW,Scottish Power plc
213,SPRK,Spark Energy Supply Limited
214,SSIL,Stark Software International
215,STCL,St Clements Services
216,SWAE,South Wales Electricity plc
217,SWEB,EDF Energy plc
218,SYSC,Syseca Ltd
219,TCGP,The Challenge Group
220,TEAM,The Team Group of Companies UK
221,TESI,Teesside Power Ltd
222,TGPL,TotalFinaElf Gas & Power
223,TREX,Power4All
224,TRUR,TruRead Limited
225,UDMS,UtilityDataManagementServices
226,UESL,Utility Energy Solutions Ltd
227,UKDC,IMServ Europe Ltd
228,UKEL,UK Electric Power Ltd
229,UKEP,UK Electric Power
230,UMLD,UML Ltd
231,UMOL,Utilita Meter Operations Ltd
232,UPLD,Utility Partnership Ltd
233,UTLX,Utilyx Limited
234,UUMO,United Utilities Networks Ltd
235,UUNL,United Utilities Networks Ltd
236,VOLT,Volt Energy Supply Limited
237,WBUR,TXU Europe West Burton Ltd
238,WGAS,Western Gas Ltd
239,WINT,Winterton Power Ltd
240,WPDR,Western Power Data Retriever
241,WPRM,Western Power Remote Metering
242,WPSW,Western Power Dist South West
243,WPWA,Western Power Dist South Wales
244,WREL,Utility Link Limited
245,YBGA,SP British Gas Trading
246,YEEL,SP Eastern Electricity
247,YELG,Yorkshire Electricity Group
248,YEME,SP East Midland Electricity
249,YHYD,SP Hydro Electric
250,YIND,SP Independent Energy (UK) Ltd
251,YLON,SP London Electricity
252,YMID,SP Midlands Electricity
253,YNAT,SP National Power
254,YNEE,SP Northern Electric
255,YNEL,SP Nuclear Electric
256,YNOR,SP NORWEB
257,YNUC,SP Magnox Electric
258,YPGE,SP PowerGen
259,YSEE,SP SEEBOARD
260,YSOU,SP Southern Electric
261,YSPO,SP Scottish Power plc
262,YSWA,SP South Wales Electricity
263,YSWE,SP South Western Electricity
264,YYEL,SP Yorkshire Electricity
265,ZEEL,HE Eastern Electricity
266,ZEME,HE East Midland Electricity
267,ZHYD,HE Scottish Hydro Electric plc
268,ZIND,HE Independent Energy (UK) Ltd
