Settlement Date,Settlement Run Type,Settlement Period,Off Taking,Delivering
27/09/2013,DF,15,1.0095324,0.9916533
27/09/2013,DF,16,1.0092639,0.9919399
27/09/2013,DF,17,1.008645,0.9924888
27/09/2013,DF,18,1.0083191,0.9928615
27/09/2013,DF,19,1.0084653,0.9927487
27/09/2013,DF,20,1.0085437,0.9926994
27/09/2013,DF,21,1.0085705,0.9926749
27/09/2013,DF,22,1.0088236,0.9924703
27/09/2013,DF,23,1.0088735,0.9924076
27/09/2013,DF,24,1.0091665,0.9921421
27/09/2013,DF,25,1.0091323,0.9921645
27/09/2013,DF,26,1.0091876,0.9921286
27/09/2013,DF,27,1.0091271,0.9921896
27/09/2013,DF,28,1.0089796,0.9923092
27/09/2013,DF,29,1.008889,0.9923831
27/09/2013,DF,30,1.008841,0.9924161
27/09/2013,DF,31,1.0087648,0.9924832
27/09/2013,DF,32,1.0086658,0.9925645
27/09/2013,DF,33,1.0084739,0.992757
27/09/2013,DF,34,1.0084336,0.9928086
27/09/2013,DF,35,1.0083974,0.9928052
27/09/2013,DF,36,1.0084166,0.992789
27/09/2013,DF,37,1.0088008,0.9924888
27/09/2013,DF,38,1.0092736,0.9920786
27/09/2013,DF,39,1.0095885,0.9917856
27/09/2013,DF,40,1.0094223,0.9919082
27/09/2013,DF,41,1.0091375,0.992159
27/09/2013,DF,42,1.0089945,0.9922755
27/09/2013,DF,43,1.0095373,0.9918136
27/09/2013,DF,44,1.0097524,0.9916027
27/09/2013,DF,45,1.0099223,0.9914249
27/09/2013,DF,46,1.009858,0.9914385
27/09/2013,DF,47,1.0099536,0.9913196
27/09/2013,DF,48,1.0101343,0.9911009
28/09/2013,DF,1,1.0103789,0.9908735
28/09/2013,DF,2,1.010857,0.9903935
28/09/2013,DF,3,1.0110354,0.9902461
28/09/2013,DF,4,1.0115641,0.9897694
28/09/2013,DF,5,1.0118061,0.9895214
28/09/2013,DF,6,1.0116026,0.989671
28/09/2013,DF,7,1.0115249,0.9896793
28/09/2013,DF,8,1.0115468,0.989631
28/09/2013,DF,9,1.0114433,0.9897708
28/09/2013,DF,10,1.0114819,0.9897411
28/09/2013,DF,11,1.0111904,0.9899864
28/09/2013,DF,12,1.0110729,0.9901449
28/09/2013,DF,13,1.0104919,0.9906581
28/09/2013,DF,14,1.0101563,0.9909637
28/09/2013,DF,15,1.0098481,0.9912933
28/09/2013,DF,16,1.009099,0.9919795
28/09/2013,DF,17,1.0086538,0.9923648
28/09/2013,DF,18,1.0084599,0.9926093
28/09/2013,DF,19,1.0083088,0.9928103
28/09/2013,DF,20,1.0083656,0.9927963
28/09/2013,DF,21,1.0084513,0.9927406
28/09/2013,DF,22,1.0086218,0.992607
28/09/2013,DF,23,1.0085605,0.9926652
28/09/2013,DF,24,1.008508,0.9926936
28/09/2013,DF,25,1.0085988,0.992622
28/09/2013,DF,26,1.0086147,0.9926081
28/09/2013,DF,27,1.008629,0.9926001
28/09/2013,DF,28,1.0088881,0.9923982
28/09/2013,DF,29,1.0087531,0.9924991
28/09/2013,DF,30,1.0087432,0.9925158
28/09/2013,DF,31,1.0087667,0.9925012
28/09/2013,DF,32,1.0087236,0.9925374
28/09/2013,DF,33,1.0087376,0.9925365
28/09/2013,DF,34,1.0087663,0.9925271
28/09/2013,DF,35,1.0086348,0.9926382
28/09/2013,DF,36,1.0086537,0.9926281
28/09/2013,DF,37,1.0086401,0.9926568
28/09/2013,DF,38,1.0085194,0.992754
28/09/2013,DF,39,1.0085655,0.9926836
28/09/2013,DF,40,1.0087014,0.9925658
28/09/2013,DF,41,1.0086138,0.992647
28/09/2013,DF,42,1.0085505,0.992691
28/09/2013,DF,43,1.0086393,0.992589
28/09/2013,DF,44,1.008829,0.9924072
28/09/2013,DF,45,1.008811,0.9923903
28/09/2013,DF,46,1.0093716,0.9918689
28/09/2013,DF,47,1.009675,0.9915862
28/09/2013,DF,48,1.0099592,0.9913164
29/09/2013,DF,1,1.0098593,0.9913725
29/09/2013,DF,2,1.0100134,0.991215
29/09/2013,DF,3,1.0102066,0.9910485
29/09/2013,DF,4,1.0101588,0.991099
29/09/2013,DF,5,1.0102666,0.9910046
29/09/2013,DF,6,1.0105047,0.990772
29/09/2013,DF,7,1.0106537,0.9906546
29/09/2013,DF,8,1.0108634,0.990446
29/09/2013,DF,9,1.010718,0.990573
29/09/2013,DF,10,1.0107651,0.9905431
29/09/2013,DF,11,1.0104688,0.9909374
29/09/2013,DF,12,1.0101164,0.9912439
29/09/2013,DF,13,1.0096544,0.9919437
29/09/2013,DF,14,1.0093494,0.9922196
29/09/2013,DF,15,1.0089808,0.9924175
29/09/2013,DF,16,1.0089598,0.9925062
29/09/2013,DF,17,1.0088848,0.9924538
29/09/2013,DF,18,1.0087833,0.9925456
29/09/2013,DF,19,1.0087425,0.9925748
29/09/2013,DF,20,1.0087655,0.9925589
29/09/2013,DF,21,1.0087124,0.9926039
29/09/2013,DF,22,1.0087941,0.9925317
29/09/2013,DF,23,1.0088509,0.9924888
29/09/2013,DF,24,1.0089629,0.9923987
29/09/2013,DF,25,1.0089481,0.992427
29/09/2013,DF,26,1.0089942,0.9923954
29/09/2013,DF,27,1.0088824,0.9925082
29/09/2013,DF,28,1.0086007,0.9927275
29/09/2013,DF,29,1.0085478,0.9928183
29/09/2013,DF,30,1.0085307,0.9928297
29/09/2013,DF,31,1.0084314,0.9928761
29/09/2013,DF,32,1.0084022,0.9929092
29/09/2013,DF,33,1.0084502,0.9928609
29/09/2013,DF,34,1.0085224,0.9928001
29/09/2013,DF,35,1.0086512,0.9926763
29/09/2013,DF,36,1.0086484,0.9926817
29/09/2013,DF,37,1.0087815,0.9925715
29/09/2013,DF,38,1.0089047,0.9924696
29/09/2013,DF,39,1.0090136,0.9923738
29/09/2013,DF,40,1.0090648,0.9923251
29/09/2013,DF,41,1.0088994,0.9924539
29/09/2013,DF,42,1.0087447,0.9925693
29/09/2013,DF,43,1.0087037,0.9926061
29/09/2013,DF,44,1.0086178,0.9926598
29/09/2013,DF,45,1.0089331,0.9923691
29/09/2013,DF,46,1.0093557,0.9919494
29/09/2013,DF,47,1.0093906,0.9918213
29/09/2013,DF,48,1.0097749,0.9914531
30/09/2013,DF,1,1.0104273,0.9908521
30/09/2013,DF,2,1.0105992,0.990641
30/09/2013,DF,3,1.0104383,0.9907189
30/09/2013,DF,4,1.0107499,0.990443
30/09/2013,DF,5,1.0106795,0.9904889
30/09/2013,DF,6,1.010434,0.9906851
30/09/2013,DF,7,1.0105668,0.9905845
30/09/2013,DF,8,1.0106364,0.9905255
30/09/2013,DF,9,1.0106979,0.9904544
30/09/2013,DF,10,1.0108234,0.9903476
30/09/2013,DF,11,1.0108855,0.9905017
30/09/2013,DF,12,1.010404,0.9909198
30/09/2013,DF,13,1.0102156,0.9910848
30/09/2013,DF,14,1.0099096,0.9914135
30/09/2013,DF,15,1.0097754,0.9917257
30/09/2013,DF,16,1.0097748,0.9917644
30/09/2013,DF,17,1.0091237,0.9921571
30/09/2013,DF,18,1.0088377,0.9923831
30/09/2013,DF,19,1.0089493,0.9922926
30/09/2013,DF,20,1.0087677,0.9924572
30/09/2013,DF,21,1.0088028,0.992425
30/09/2013,DF,22,1.0087319,0.9924729
30/09/2013,DF,23,1.0087575,0.9924586
30/09/2013,DF,24,1.0087927,0.9924277
30/09/2013,DF,25,1.0088247,0.99242
30/09/2013,DF,26,1.008918,0.9923362
30/09/2013,DF,27,1.009023,0.9923422
30/09/2013,DF,28,1.0090219,0.9923379
30/09/2013,DF,29,1.0090154,0.9923202
30/09/2013,DF,30,1.0089885,0.9923439
30/09/2013,DF,31,1.0088853,0.9924225
30/09/2013,DF,32,1.0089018,0.9924109
30/09/2013,DF,33,1.0087664,0.9924511
30/09/2013,DF,34,1.0088302,0.9924024
30/09/2013,DF,35,1.0088398,0.9924026
30/09/2013,DF,36,1.0088679,0.9923855
30/09/2013,DF,37,1.0091525,0.9921459
30/09/2013,DF,38,1.0091478,0.992156
30/09/2013,DF,39,1.0098832,0.9915573
30/09/2013,DF,40,1.0097223,0.9916788
30/09/2013,DF,41,1.0097678,0.991634
30/09/2013,DF,42,1.0098997,0.9914918
30/09/2013,DF,43,1.0102675,0.9911461
30/09/2013,DF,44,1.0112238,0.9903055
30/09/2013,DF,45,1.0118091,0.9897602
30/09/2013,DF,46,1.0121756,0.9893754
30/09/2013,DF,47,1.0125701,0.9888931
30/09/2013,DF,48,1.0125058,0.9888871
01/10/2013,DF,1,1.0124753,0.9890647
01/10/2013,DF,2,1.0121706,0.9892739
01/10/2013,DF,3,1.0122111,0.9891976
01/10/2013,DF,4,1.0120587,0.9893099
01/10/2013,DF,5,1.0117199,0.9896023
01/10/2013,DF,6,1.0111665,0.9900763
01/10/2013,DF,7,1.0107898,0.990417
01/10/2013,DF,8,1.0106238,0.9905855
01/10/2013,DF,9,1.0106397,0.9905875
01/10/2013,DF,10,1.0108876,0.9903572
01/10/2013,DF,11,1.0114035,0.9900636
01/10/2013,DF,12,1.0113891,0.990115
01/10/2013,DF,13,1.0101599,0.9912615
01/10/2013,DF,14,1.0097082,0.9917166
01/10/2013,DF,15,1.009195,0.9922052
01/10/2013,DF,16,1.0090265,0.9923771
01/10/2013,DF,17,1.0086829,0.992577
01/10/2013,DF,18,1.0084219,0.9927993
01/10/2013,DF,19,1.0084431,0.992749
01/10/2013,DF,20,1.008588,0.9926273
01/10/2013,DF,21,1.0086534,0.9925647
01/10/2013,DF,22,1.008784,0.9924568
01/10/2013,DF,23,1.0091115,0.9921785
01/10/2013,DF,24,1.0092629,0.992049
01/10/2013,DF,25,1.0092119,0.9921172
01/10/2013,DF,26,1.0091996,0.9921187
01/10/2013,DF,27,1.0095926,0.9920426
01/10/2013,DF,28,1.0097856,0.9918853
01/10/2013,DF,29,1.0094088,0.9920997
01/10/2013,DF,30,1.0092526,0.9922136
01/10/2013,DF,31,1.0090797,0.9922978
01/10/2013,DF,32,1.0087851,0.9925509
01/10/2013,DF,33,1.0086465,0.9926478
01/10/2013,DF,34,1.0087647,0.9925631
01/10/2013,DF,35,1.0086656,0.9926296
01/10/2013,DF,36,1.008494,0.9928054
01/10/2013,DF,37,1.0083811,0.9929209
01/10/2013,DF,38,1.0086037,0.9927596
01/10/2013,DF,39,1.0088578,0.9925273
01/10/2013,DF,40,1.0086429,0.9927133
01/10/2013,DF,41,1.0083419,0.9929543
01/10/2013,DF,42,1.0082849,0.9929855
01/10/2013,DF,43,1.0082959,0.9929675
01/10/2013,DF,44,1.0085412,0.9927191
