"Gsp Group ID","GSP Group Name"
"_A","Eastern"
"_B","East Midlands"
"_C","London"
"_D","Merseyside and North Wales"
"_E","Midlands"
"_F","Northern"
"_G","North Western"
"_H","Southern"
"_J","South Eastern"
"_K","South Wales"
"_L","South Western"
"_M","Yorkshire"
"_N","South Scotland"
"_P","North Scotland"
