Chellow Id,MTC Payment Type ID,MTC Payment Type Description,Effective From Settlement Date (MPT),Effective To Settlement Date (MPT)
1,CR,Credit,1996-04-01 00:00:00+00,
2,KM,Key,1996-04-01 00:00:00+00,
3,KP,PRI Keypad Metering,2005-06-03 00:00:00+00,
4,OS,Other/Not Supported,1996-04-01 00:00:00+00,
5,PL,Power Line Carrier,1996-04-01 00:00:00+00,
6,SM,Smart Card,1996-04-01 00:00:00+00,
7,TL,Token - Large,1996-04-01 00:00:00+00,
8,TS,Token - Small,1996-04-01 00:00:00+00,
