Chellow Id,Gsp Group ID,GSP Group Name
1,_A,Eastern
2,_B,East Midlands
3,_C,London
4,_D,Merseyside and North Wales
5,_E,Midlands
6,_F,Northern
7,_G,North Western
8,_H,Southern
9,_J,South Eastern
10,_K,South Wales
11,_L,South Western
12,_M,Yorkshire
13,_N,South Scotland
14,_P,North Scotland
