Chellow Id,Profile Class ID,Profile Class Description
1,01,Domestic Unrestricted
2,02,Domestic Economy 7
3,03,Non-domestic Unrestricted
4,04,Non-domestic Economy 7
5,05,"Non-domestic, MD, load factor 0-20%"
6,06,"Non-domestic, MD, load factor 20-30%"
7,07,"Non-domestic, MD, load factor 30-40%"
8,08,"Non-domestic, MD, load factor 40%+"
9,00,Half-hourly
