"Chellow Id","Distributor Short Code"
383,"10"
399,"11"
75,"12"
93,"13"
116,"14"
136,"15"
153,"16"
454,"17"
220,"18"
173,"19"
201,"20"
241,"21"
254,"22"
312,"23"
469,"24"
64,"25"
434,"26"
421,"27"
371,"28"
505,99
