Chellow Id,Chellow DNO Id,Meter Timeswitch Class Id,Meter Timeswitch Class Description,Has Related Meter?,Has Comms?,Is HH?,Meter Type Chellow Id,Meter Payment Type Chellow Id,MTC TPR Count,Effective From Settlement Date {MTC},Effective To Settlement Date {MTC}
3203,660,712,Metered Pub Lighting - Dusk to Midnight,1,0,0,14,1,1,1996-04-01,
3204,898,712,8.5 Hr White Meter,1,0,0,8,1,2,1996-04-01,
3205,675,712,8.5 Hr White Meter,1,0,0,9,1,2,1996-04-01,
3206,131,713,split 7-hour E7,1,0,0,15,7,2,1996-04-01,
3207,153,713,Half hourly For Related MPAN's,1,0,1,1,1,,1996-04-01,
3208,660,713,Metered Pub Lighting - Dusk to Midnight,1,0,0,15,1,1,1996-04-01,
3209,898,713,8.5 Hr White Meter,1,0,0,8,7,2,1996-04-01,
3210,692,713,Split 7hr E7,1,0,0,15,7,2,1996-04-01,
3211,153,714,Half hourly For Related MPAN's,1,0,1,2,1,,1996-04-01,
3212,660,714,"Metered Pub Lighting - Dusk to Midnight, 6am to Da",1,0,0,14,1,1,1996-04-01,
3213,898,714,8.5 Hr White Meter,1,0,0,9,1,2,1996-04-01,
3214,675,714,8.5 Hr White Meter,1,0,0,8,1,2,1996-04-01,
3215,131,715,split 7-hour E7,1,0,0,15,2,2,1996-04-01,
3216,153,715,Half hourly For Related MPAN's,1,0,1,3,1,,1996-04-01,
3217,660,715,"Metered Pub Lighting - Dusk to Midnight, 6am to Da",1,0,0,15,1,1,1996-04-01,
3218,898,715,8.5 Hr White Meter,1,0,0,9,7,2,1996-04-01,
3219,692,715,Split 7hr E7,1,0,0,15,2,2,1996-04-01,
3220,640,715,Split 7hr E7,1,0,0,15,2,2,1996-04-01,
3221,153,716,Half hourly For Related MPAN's,1,0,1,4,1,,1996-04-01,
3222,660,716,Metered Pub Lighting - Dusk to Dawn,1,0,0,14,1,1,1996-04-01,
3223,898,716,Crop & Air Conditioning 12 Hr,1,0,0,14,1,1,1996-04-01,
3224,131,717,Unrestricted,1,0,0,18,7,1,1996-04-01,
3225,153,717,Half hourly For Related MPAN's,1,0,1,6,1,,1996-04-01,
3226,660,717,Metered Pub Lighting - Dusk to Dawn,1,0,0,15,1,1,1996-04-01,
3227,898,717,Crop & Air Conditioning 12 Hr,1,0,0,15,1,1,1996-04-01,
3228,692,717,Unrestricted,1,0,0,18,7,1,1996-04-01,
3229,153,718,SSC 9999??,1,0,1,19,1,,1996-04-01,
3230,660,718,Metered Pub Lighting - Dusk to Midnight,1,0,0,14,8,1,1996-04-01,
3231,898,718,Crop & Air Conditioning 16 Hr,1,0,0,14,1,1,1996-04-01,
3232,131,719,Unrestricted,1,0,0,18,2,1,1996-04-01,
3233,660,719,"Metered Pub Lighting - Dusk to Midnight, 6am to Da",1,0,0,14,8,1,1996-04-01,
3234,898,719,Crop & Air Conditioning 16 Hr,1,0,0,15,1,1,1996-04-01,
3235,692,719,Unrestricted,1,0,0,18,2,1,1996-04-01,
3236,640,719,Unrestricted,1,0,0,18,2,1,1996-04-01,
3237,660,720,Metered Pub Lighting - Dusk to Dawn,1,0,0,14,8,1,1996-04-01,
3238,898,720,Key Meter Twin Element Normal,1,0,0,9,2,1,1996-04-01,
3239,131,721,E10 General,1,0,0,9,7,2,1996-04-01,
3240,660,721,"2 rate low rate 4-7,13.30-15.30,19-22",1,0,0,14,1,2,1996-04-01,
3241,898,721,Key Meter Twin Element Heating E2000,1,0,0,9,2,1,1996-04-01,
3242,660,722,"2 rate low rate 4-7,13.30-15.30,19-22",1,0,0,14,8,2,1996-04-01,
3243,898,722,Key Meter Twin Element Heating CPC,1,0,0,9,2,1,1996-04-01,
3244,660,723,E8 23:30 - 07:30,1,0,0,8,1,2,2000-11-10,
3245,898,723,Key Meter Twin Element Normal CPC,1,0,0,9,2,2,2000-11-10,
3246,660,724,E8 23:30 - 07:30,1,0,0,8,8,2,2000-11-10,
3247,660,725,Dynamic-Htg Units,1,0,0,8,1,1,2000-11-10,
3248,660,726,Dynamic-Htg Units,1,0,0,8,8,1,2000-11-10,
3249,153,727,Unmetered - related MPAN's,1,0,1,13,1,,1996-04-01,
3250,660,727,KBM Related MTC PC 01_03,1,0,0,15,2,1,1996-04-01,
3251,675,727,Domestic unrestricted P/P,1,0,0,15,2,1,1996-04-01,
3252,660,728,KBM Related MTC PC 02_04,1,0,0,15,2,2,2004-03-19,
3253,675,728,Domestic day/night P/P,1,0,0,15,2,2,2004-03-19,
3254,660,729,Unrestricted element of integrated key meter,1,0,0,8,2,1,2005-09-16,
3255,660,730,Heating element of integrated key meter,1,0,0,8,2,1,2005-09-16,
3256,918,740,Evening and W/end 19:00 - 07:00; 00:00 - 24:00,1,0,0,14,1,2,1996-04-01,
3257,918,741,Evening and W/end 19:00 - 07:00; 00:00 - 24:00,1,0,0,8,1,2,1996-04-01,
3258,918,742,Evening and W/end 19:00 - 07:00; 00:00 - 24:00,1,0,0,14,8,2,1996-04-01,
3259,918,743,Evening and W/end 19:00 - 07:00; 00:00 - 24:00,1,0,0,8,8,2,1996-04-01,
3260,131,774,7-hour OP,1,0,0,15,7,1,1996-04-01,
3261,131,775,E10 Heating,1,0,0,9,7,1,1996-04-01,
3262,131,776,7hr E7 pp (multiple MPAN),1,0,0,19,4,2,1996-04-01,
