Chellow Id,MTC Payment Type Id,MTC Payment Type Description,Effective From Settlement Date {MPT},Effective To Settlement Date {MPT}
1,CR,Credit,01/04/1996,
2,KM,Key,01/04/1996,
3,KP,PRI Keypad Metering,03/06/2005,
4,OS,Other/Not Supported,01/04/1996,
5,PL,Power Line Carrier,01/04/1996,
6,SM,Smart Card,01/04/1996,
7,TL,Token - Large,01/04/1996,
8,TS,Token - Small,01/04/1996,
