Chellow Id,Market Participant ID,Market Participant Name
172,GDLC,Low Carbon Finance Ltd
173,GDLE,Local Energy
174,GDMG,Mark Group Limited
175,GDMT,MEB Total Ltd
176,GDNE,Nationwide Energy Consultants
177,GDNG,Network Green Deal Ltd
178,GDNH,British Gas Trading Limited
179,GDNW,Nationwide Solar Ltd
180,GDOB,1 Business Enterprise Ltd
181,GDOE,Osborne Energy Ltd
182,GDOG,OUR GENERATION LIMITED
183,GDPE,Physis Energy Ltd
184,GDPN,Green Deal Provider Network
185,GDPO,Polyramek Energy Ltd
186,GDRE,ReEnergise Finance Ltd.
187,GDRI,Renewable Infrastructure Ltd
188,GDRP,The Ridgeway Partnership
189,GDRS,RateSetter
190,GDSC,Scenergy Ltd
191,GDSD,Energy Save Direct Ltd
192,GDSE,G2V Solar Energy Solutions Ltd
193,GDSI,SIG GDP Company Ltd
194,GDSL,Servicetotal Ltd
195,GDSR,Solus Renewable Energy Ltd
196,GDSS,Silverstone Green Energy Ltd
197,GDST,Stroma Group
198,GDSW,Solarwise Renewables Ltd
199,GDTO,Toriga Energy
200,GDUC,UCS Renewables
201,GDUS,Utd Sustainable Energy Agency
202,GDVO,Volta Green Deal
203,GDWU,Wolseley UK
204,GDWW,Work Work Ltd
205,GDYE,Yorkshire Energy Group
206,GDYG,Your Green Deal Provider Ltd
207,GETW,Utilita Energy Limited
208,GLAC,The Gas Light & Coke Company
209,GMTR,GAZPROM M & T RETAIL LTD
210,GNRG,Garsington Energy Limited
211,GREN,Greenwich Energy Trading Ltd
212,GUCL,Energetics Electricity Ltd
213,GYPL,Great Yarmouth Power Limited
214,HAVE,Haven Power Limited
215,HEEL,Hydro Electric Energy Ltd
216,HELE,SSE Energy Limited
217,HMAR,TXU Europe High Marnham Ltd
218,HOLB,Holborn Energy Limited
219,HPOW,Haven Power Limited
220,HUDS,Hudson Energy Supply UK Ltd
221,HUMB,Humber Power Ltd
222,HYDE,Scottish Hydro Electric plc
223,ICPL,ICI Chemicals and Polymers
224,IMPH,Atlantic Energy UK PLC
225,IMPO,Atlantic Electric & Gas Ltd
226,IMPX,Impkemix Energy Ltd
227,INDE,Independent Energy NHH
228,INDQ,Indian Queens Power Ltd
229,INDX,Independent Energy HH
230,IPNL,Independent Power Networks Ltd
231,IRON,TXU Europe Ironbridge Ltd
232,KEAD,Keadby Generation
233,KENS,Kensington Power Limited
234,KEPL,Keadby Power Ltd
235,KNPL,Kingsnorth Power Ltd
236,LAKE,Lakeland Power Ltd
237,LBSL,Lowri Beck Services Ltd
238,LCMG,LogicaCMG (UK) Ltd.
239,LECL,London Energy Company Limited
240,LENC,Lenco
241,LENG,ESP Electricity Limited
242,LOND,EDF Energy plc
243,LUME,Lumen Energy Supply Limited
244,MAEL,MA Energy Limited
245,MAGN,DONG Energy Power Sales UK Ltd
246,MAGX,Magnox Electric Plc
247,MANP,Manx Electricity Authority
248,MANW,MANWEB plc
249,MAVE,Maverick Energy
250,MEDP,Medway Power Ltd
251,MEMD,Metering Services (MIDE Area)
252,MEMW,Metering Services (MANW Area)
253,MENW,Metering Services (NORW Area)
254,MESL,Metering Services Ltd.
255,MESS,Metering Services (SPOW Area)
256,MFAL,Meter Fit Assets Limited
257,MFMP,Meter Fit
258,MFXC,Meter Fit
259,MGAS,Midlands Gas Ltd
260,MIDE,Midlands Electricity plc
261,MLBB,G4S Utility Services (UK) Ltd
262,MLLA,Macquarie Leasing Limited
263,MOPL,Meter Operators Ltd
264,MRSL,Meter Reading Services Ltd
265,MSCG,Morgan Stanley Capital Grp Inc
266,NATP,Npower Ltd
267,NEEB,Northern Powergrid (Northeast)
268,NELC,British Energy Generation Ltd
269,NESL,Northern Energy Services Ltd
270,NGAS,NGC Ancillary Services
271,NGCP,First Hydro Company
272,NGCY,National Grid Company
273,NGIB,NGC Interconnections Business
274,NGTL,Killingholme Power Limited
275,NHUK,Norsk Hydro UK Ltd
276,NORW,NORWEB plc
277,NPOW,INNOGY Plc
278,NTWL,Nitrogen Two Ltd
279,NUCE,Magnox Electric plc
280,OBER,Oberon Energy Supply Limited
281,OGAS,ZEST4 Electricity Limited
282,ONGE,Orange Limited
283,ONSA,OnStream
284,ONSE,OnStream
285,ONST,"UMSL, trading as OnStream"
286,OTWO,O2
287,OVOE,OVO Electricity Limited
288,OXPO,Opus Energy Limited
289,PCHP,PowerGen Combined Heat & Power
290,PDAL,Power Data Associates Ltd
291,PETE,Peterborough Power Ltd
292,PETX,Pentex (East Midlands) Ltd
293,PGEN,Powergen
294,PLEX,PLEXUS TECHNOLOGY LIMITED
295,PLUS,MeterPlus
296,POML,Powermet Ltd
297,POOL,ELEXON Limited
298,PRIM,PRI Ltd
299,PRIP,PRI Ltd
300,PURE,Good Energy Limited
301,RBOS,Royal Bank of Scotland
302,REGP,Regional Power Generators
303,RENC,Renewable Energy Company
304,RGAS,Regent Gas
305,ROAM,Dummy Id for Roaming SIMS
306,ROCK,Rocksavage Power Company Ltd
307,RUGE,TXU Europe Rugeley Ltd
308,RWED,GDF SUEZ Marketing Ltd
309,SCHL,Schlumberger Industries Ltd
310,SCPL,South Coast Power Limited
311,SEAB,Seabank Power Limited
312,SECL,Spalding Energy Company Ltd
313,SECU,Secus Ltd
314,SEEB,EDF Energy plc
315,SEEL,Sempra Energy Europe Limited
316,SEOA,Scottish & Southern Energy Plc
317,SESL,Scottish Electricity Settlemen
318,SHEL,Shell Power Ltd
319,SIEM,Siemens MCS
320,SLOU,Slough Energy Supplies Ltd
321,SMAL,SmartestEnergy Limited
322,SMAR,SmartestEnergy Limited
323,SNCL,Stanor National Contracts Ltd
324,SOUT,Southern Electric plc
325,SPOW,Scottish Power plc
326,SPRK,Spark Energy Supply Limited
327,SSIL,Stark Software International
328,STAT,Statkraft Markets GMBH
329,STCL,St Clements Services
330,SWAE,South Wales Electricity plc
331,SWEB,EDF Energy plc
332,SYMB,Symbio Energy LLP
333,SYSC,Syseca Ltd
334,TCGP,The Challenge Group
335,TEAM,The Team Group of Companies UK
336,TESI,Teesside Power Ltd
337,TGPL,TotalFinaElf Gas & Power
338,TMOB,T-Mobile
339,TREX,Power4All
340,TRUR,TruRead Limited
341,UDMS,UtilityDataManagementServices
342,UESL,Utility Energy Solutions Ltd
343,UFUN,Utility Funding Limited
344,UKDC,IMServ Europe Ltd
345,UKEL,UK Electric Power Ltd
346,UKEP,UK Electric Power
347,UMLD,UML Ltd
348,UMOL,Utilita Meter Operations Ltd
349,UPLD,Utility Partnership Ltd
350,UPLH,Utility Partnership Ltd
351,UPLX,Utility Partnership Ltd
352,UTFL,ENTERPRISE (E&CS) LTD
353,UTLX,Utilyx Limited
354,UUCO,ENTERPRISE (E&CS) LTD
355,UUMO,ENTERPRISE (E&CS) LTD
356,UUNL,ENTERPRISE (E&CS) LTD
357,UUUU,ELEXON - PARMS
358,VODA,Vodafone Limited
359,VOLT,Co-operative Energy Limited
360,WBUR,TXU Europe West Burton Ltd
361,WGAS,Western Gas Ltd
362,WINT,Winterton Power Ltd
363,WPDR,Western Power Data Retriever
364,WPEM,Western Power East Midlands
365,WPRM,Western Power Remote Metering
366,WPSW,Western Power Dist South West
367,WPWA,Western Power Dist South Wales
368,WPWM,Western Power West Midlands
369,WREL,Utility Link Limited
370,YBGA,SP British Gas Trading
371,YEEL,SP Eastern Electricity
372,YELG,Northern Powergrid (Yorkshire)
373,YEME,SP East Midland Electricity
374,YHYD,SP Hydro Electric
375,YIND,SP Independent Energy (UK) Ltd
376,YLON,SP London Electricity
377,YMID,SP Midlands Electricity
378,YNAT,SP National Power
379,YNEE,SP Northern Electric
380,YNEL,SP Nuclear Electric
381,YNOR,SP NORWEB
382,YNUC,SP Magnox Electric
383,YPGE,SP PowerGen
384,YSEE,SP SEEBOARD
385,YSOU,SP Southern Electric
386,YSPO,SP Scottish Power plc
387,YSWA,SP South Wales Electricity
388,YSWE,SP South Western Electricity
389,YYEL,SP Yorkshire Electricity
390,ZEEL,HE Eastern Electricity
391,ZEME,HE East Midland Electricity
392,ZHYD,HE Scottish Hydro Electric plc
393,ZIND,HE Independent Energy (UK) Ltd
394,ZLON,HE London Electricity
395,ZMID,HE Midlands Electricity
396,ZNAT,HE National Power
397,ZNEE,HE Northern Electric
398,ZNOR,HE NORWEB
399,ZPGE,HE PowerGen
400,ZSEE,HE SEEBOARD
401,ZSOU,HE Southern Electric plc
402,ZSPO,HE ScottishPower
403,ZSWA,HE South Wales Electricity
404,ZTAR,REA AGENT ONLY (IMServ Europe)
405,ZYEL,HE Yorkshire Electricity
406,ZZAA,Dummy NHHDA for Eastern
407,ZZAB,Dummy NHHDA for East Midlands
408,ZZAC,Dummy NHHDA for London
409,ZZAD,Dummy NHHDA for Manweb
410,ZZAE,Dummy NHHDA for Midlands
411,ZZAF,Dummy NHHDA for Northern
412,ZZAG,Dummy NHHDA for Norweb
413,ZZAH,Dummy NHHDA for Southern
414,ZZAJ,Dummy NHHDA for Seeboard
415,ZZAK,Dummy NHHDA for SWALEC
416,ZZAL,Dummy NHHDA for SWEB
417,ZZAM,Dummy NHHDA for Yorkshire
