"Code","Description"
"A","Actual Change of Supplier Read"
"C","Customer own read"
"D","Deemed (Settlement Registers) or Estimated (Non-Settlement Registers)"
"F","Final"
"I","Initial"
"M","MAR"
"O","Old Supplier's Estimated CoS Reading"
"P","Electronically collected via PPMIP"
"Q","Meter Reading modified manually by DC"
"R","Routine"
"S","Special"
"T","Proving Test Reading"
"W","Withdrawn"
"Z","Actual Change of Tenancy Read"
# Added for Chellow
"E", "Estimate"
