id,code,description
0,_A,Eastern
1,_B,East Midlands
2,_C,London
3,_D,Merseyside and North Wales
4,_E,Midlands
5,_F,Northern
6,_G,North Western
7,_H,Southern
8,_J,South Eastern
9,_K,South Wales
10,_L,South Western
11,_M,Yorkshire
12,_N,South Scotland
13,_P,North Scotland
