id,ssc_id,tpr_id
998,630,1056
999,630,1057
1000,631,1058
1001,632,1059
1002,632,1060
1003,633,1061
1004,634,1068
1005,634,1069
1006,635,1070
1007,636,251
1008,636,262
1009,637,953
1010,638,1024
1011,639,1043
1012,640,1044
1013,641,273
1014,642,282
1015,643,283
1016,644,1022
1017,645,1023
1018,646,254
1019,647,255
1020,648,256
1021,649,257
1022,650,258
1023,651,259
1024,652,260
1025,653,261
1026,654,265
1027,655,266
1028,656,267
1029,657,268
1030,658,269
1031,659,270
1032,660,271
1033,661,272
1034,662,284
1035,662,285
1036,663,286
1037,663,287
1038,664,252
1039,664,253
1040,665,263
1041,665,264
1042,666,52
1043,666,251
1044,667,52
1045,667,251
1046,668,274
1047,669,275
1048,670,276
1049,671,235
1050,671,278
1051,672,237
1052,672,279
1053,673,239
1054,673,280
1055,674,241
1056,674,281
1057,675,966
1058,676,978
1059,677,981
1060,678,176
1061,678,321
1062,678,322
1063,678,323
1064,679,1071
1065,679,1072
1066,680,1073
1067,681,339
1068,681,340
1069,682,828
1070,682,829
1071,683,1074
1072,683,1075
1073,684,341
1074,684,342
1075,685,360
1076,685,361
1077,686,362
1078,687,363
1079,688,364
1080,688,365
1081,689,366
1082,689,367
1083,690,368
1084,690,369
1085,691,370
1086,691,371
1087,692,372
1088,692,373
1089,693,374
1090,693,375
1091,693,376
1092,694,377
1093,694,378
1094,695,379
1095,695,380
1096,696,381
1097,697,382
1098,698,383
1099,698,384
1100,699,385
1101,699,386
1102,700,387
1103,700,388
1104,700,389
1105,701,187
1106,701,390
1107,701,391
1108,701,392
1109,702,150
1110,702,389
1111,702,393
1112,702,394
1113,703,394
1114,703,395
1115,704,396
1116,704,397
1117,705,150
1118,705,394
1119,705,398
1120,706,150
1121,706,397
1122,706,403
1123,707,389
1124,707,394
1125,707,399
1126,708,389
1127,708,397
1128,708,400
1129,709,150
1130,709,389
1131,709,397
1132,709,401
1133,710,150
1134,710,393
1135,710,402
1136,711,179
1137,711,425
1138,711,431
1139,712,424
1140,713,404
1141,713,405
1142,714,406
1143,715,405
1144,715,425
1145,715,432
1146,716,407
1147,716,408
1148,717,428
1149,717,429
1150,717,430
1151,718,433
1152,718,434
1153,719,409
1154,719,410
1155,720,411
1156,721,435
1157,721,436
1158,722,437
1159,722,438
1160,723,412
1161,724,413
1162,725,414
1163,725,415
1164,726,416
1165,727,439
1166,727,440
1167,728,441
1168,728,442
1169,729,443
1170,729,444
1171,730,445
1172,730,446
1173,731,417
1174,731,418
1175,732,419
1176,733,420
1177,734,421
1178,734,422
1179,734,423
1180,735,426
1181,735,427
