id,code,name
732,VAVU,Vavu Power Limited
733,VERM,VERMONT ENERGY LIMITED
734,VETS,Vattenfall Energy Trading GmbH
735,VIPR,Viper Energy Supply Limited
736,VIRG,VIRGINIA ENERGY LIMITED
737,VMMA,Vantage Meters (MAP 1) Limited
738,VNGA,Venga Energy Supply Limited
739,VNQT,Vanquist Energy Supply Limited
740,VODA,Vodafone Limited
741,VOLT,Co-operative Energy Limited
742,WASH,UTILITY POINT LTD
743,WBUR,TXU Europe West Burton Ltd
744,WGAS,Western Gas Ltd
745,WILL,Willamette Energy Limited
746,WINT,Winterton Power Ltd
747,WPDR,Western Power Data Retriever
748,WPEM,Western Power East Midlands
749,WPRM,Western Power Remote Metering
750,WPSM,Western Power Distribution
751,WPSW,Western Power Dist South West
752,WPWA,Western Power Dist South Wales
753,WPWM,Western Power West Midlands
754,WREL,Utility Link Limited
755,YBGA,SP British Gas Trading
756,YEEL,SP Eastern Electricity
757,YELG,Northern Powergrid (Yorkshire)
758,YEME,SP East Midland Electricity
759,YHYD,SP Hydro Electric
760,YIND,SP Independent Energy (UK) Ltd
761,YLON,SP London Electricity
762,YMID,SP Midlands Electricity
763,YNAT,SP National Power
764,YNEE,SP Northern Electric
765,YNEL,SP Nuclear Electric
766,YNOR,SP NORWEB
767,YNUC,SP Magnox Electric
768,YPGE,SP PowerGen
769,YSEE,SP SEEBOARD
770,YSOU,SP Southern Electric
771,YSPO,SP Scottish Power plc
772,YSWA,SP South Wales Electricity
773,YSWE,SP South Western Electricity
774,YYEL,SP Yorkshire Electricity
775,ZEEL,HE Eastern Electricity
776,ZEME,HE East Midland Electricity
777,ZHYD,HE Scottish Hydro Electric plc
778,ZIND,HE Independent Energy (UK) Ltd
779,ZLON,HE London Electricity
780,ZMID,HE Midlands Electricity
781,ZNAT,HE National Power
782,ZNEE,HE Northern Electric
783,ZNOR,HE NORWEB
784,ZPGE,HE PowerGen
785,ZPYR,Green Network Energy Ltd
786,ZSEE,HE SEEBOARD
787,ZSOU,HE Southern Electric plc
788,ZSPO,HE ScottishPower
789,ZSWA,HE South Wales Electricity
790,ZTAR,REA AGENT ONLY (IMServ Europe)
791,ZYEL,HE Yorkshire Electricity
792,ZYTH,Zythos Energy Limited
793,ZZAA,Dummy NHHDA for Eastern
794,ZZAB,Dummy NHHDA for East Midlands
795,ZZAC,Dummy NHHDA for London
796,ZZAD,Dummy NHHDA for Manweb
797,ZZAE,Dummy NHHDA for Midlands
798,ZZAF,Dummy NHHDA for Northern
799,ZZAG,Dummy NHHDA for Norweb
800,ZZAH,Dummy NHHDA for Southern
801,ZZAJ,Dummy NHHDA for Seeboard
802,ZZAK,Dummy NHHDA for SWALEC
803,ZZAL,Dummy NHHDA for SWEB
804,ZZAM,Dummy NHHDA for Yorkshire
