id,code,name
164,EURO,Robin Hood Energy Limited
165,EUST,Euston Energy Limited
166,EVER,Eversmart Energy Ltd
167,EXGL,Exelon Generation Limited
168,FARA,URE ENERGY LIMITED
169,FARR,Farringdon Energy Limited
170,FEAL,Fulcrum Electricity Assets Ltd
171,FEML,Future Energy Metering Ltd
172,FGEN,Fibrogen Ltd
173,FHPL,Fellside Heat and Power Ltd
174,FIBR,Fibropower Ltd
175,FIWL,Fibrowatt Limited
176,FLEX,Flexitricity Limited
177,FMSL,Solarplicity Utility Services
178,FNRG,Farmoor Energy Limited
179,FORT,Fortum Direct Ltd
180,FOUR,IPM Energy Retail Ltd
181,FRST,First Utility Limited
182,FSEN,F & S Energy Ltd.
183,FSML,Fulcrum Smart Metering Ltd
184,FUAP,First Utility Ltd
185,FUML,Functional Metering Limited
186,FXGL,Foxglove Energy Supply Limited
187,GALE,Planet 9 Energy Limited
188,GAMA,Solarplicity RAC MAP
189,GANY,Solarplicity Supply Limited
190,GCHP,Grangemouth CHP Limited
191,GDAB,Absolute Insulation Ltd
192,GDAC,Acrobat Carbon Services Ltd
193,GDAD,Green Deal Advice 247 Ltd
194,GDAE,Advent Energy Management
195,GDAF,Astute Motoring Ltd
196,GDAG,Agility Eco Services Ltd
197,GDAH,Active Energy Funding
198,GDAI,Anglian Home Improvements
199,GDAK,Allkaregreendeal Limited
200,GDAL,Anesco Ltd
201,GDAM,Ampere Green Deal Ltd
202,GDAN,AG Energy Solutions Ltd
203,GDAO,AOS EEHS Ltd
204,GDAP,Apple Panels Ltd
205,GDAR,Ace Plumbing Ltd
206,GDAS,Aran Services Ltd
207,GDAT,Atlantic Contracting Limited
208,GDAU,Aura Energy Limited
209,GDAX,Apex Green Ltd
210,GDAZ,AAA Green Solutions Ltd
211,GDBA,Bartons of Duke Street
212,GDBD,Bartons of Duke Street Limited
213,GDBE,BritishEco Limited
214,GDBF,British Gas Finance Limited
215,GDBG,British Gas
216,GDBH,Borthwick Heating Insulation
217,GDBK,Brook Energy Services Ltd
218,GDBM,BMRE Limited
219,GDBO,Broad Oak Properties Ltd
220,GDBR,GB Energy (Renewables) Ltd
221,GDBS,Myblueskies Limited
222,GDCA,CarbonLow Real Estate Limited
223,GDCB,Eco Carbon Print Limited
224,GDCC,GD Central Charge Database
225,GDCD,Countrywide Green Deal Ltd
226,GDCE,Carillion Energy Services
227,GDCF,CRG Finance
228,GDCG,CG Energy Ltd
229,GDCH,Consumer Financial Ltd
230,GDCI,Cornerstone Ltd
231,GDCJ,Green Deal Consortia Ltd
232,GDCK,Clarus Energy Ltd
233,GDCL,CarbonLow
234,GDCM,Climate Energy Ltd
235,GDCN,CertiNergy Ltd
236,GDCO,The Energy Saving Co-operative
237,GDCP,Capital Energy
238,GDCQ,Cardiff Energy Supply Ltd
239,GDCR,Solarcrown UK Limited
240,GDCS,City Energy South Wales Ltd
241,GDCT,Commercial Tech Services Ltd
242,GDCU,Corporate Support Solutions
243,GDCV,Carbon Savings Limited
244,GDCX,Cenergist Limited
245,GDCY,City Energy Ltd
246,GDDC,Deveron Construction Ltd
247,GDDD,A Deal Greener Ltd
248,GDDE,Green Deal and Eco Funding Ltd
249,GDDG,Domestic Green Energy Ltd
250,GDDH,Domestic & General Heating Ltd
251,GDDI,Direct Savings (Scotland)
252,GDDL,Green Deal Direct Ltd
