id,tpr_id,Day of the Week Id,Start Day,Start Month,End Day,End Month,Start Hour,Start Minute,End Hour,End Minute
124,4,4,1,1,31,3,19,30,24,00
125,4,4,1,4,31,10,00,00,24,00
126,4,4,1,11,31,12,00,00,08,00
127,4,4,1,11,31,12,13,00,16,00
128,4,4,1,11,31,12,19,30,24,00
129,4,5,1,1,31,3,00,00,08,00
130,4,5,1,1,31,3,13,00,16,00
131,4,5,1,1,31,3,19,30,24,00
132,4,5,1,4,31,10,00,00,24,00
133,4,5,1,11,31,12,00,00,08,00
134,4,5,1,11,31,12,13,00,16,00
135,4,5,1,11,31,12,19,30,24,00
136,4,6,1,1,31,3,00,00,24,00
137,4,6,1,4,31,10,00,00,24,00
138,4,6,1,11,31,12,00,00,24,00
139,4,7,1,1,31,3,00,00,24,00
140,4,7,1,4,31,10,00,00,24,00
141,4,7,1,11,31,12,00,00,24,00
142,5,1,1,1,31,3,00,00,07,00
143,5,1,1,1,31,3,10,30,13,30
144,5,1,1,1,31,3,19,00,24,00
145,5,1,1,4,31,10,00,00,24,00
146,5,1,1,11,31,12,00,00,07,00
147,5,1,1,11,31,12,10,30,13,30
148,5,1,1,11,31,12,19,00,24,00
149,5,2,1,1,31,3,00,00,07,00
150,5,2,1,1,31,3,10,30,13,30
151,5,2,1,1,31,3,19,00,24,00
152,5,2,1,4,31,10,00,00,24,00
153,5,2,1,11,31,12,00,00,07,00
154,5,2,1,11,31,12,10,30,13,30
155,5,2,1,11,31,12,19,00,24,00
156,5,3,1,1,31,3,00,00,07,00
157,5,3,1,1,31,3,10,30,13,30
158,5,3,1,1,31,3,19,00,24,00
159,5,3,1,4,31,10,00,00,24,00
160,5,3,1,11,31,12,00,00,07,00
161,5,3,1,11,31,12,10,30,13,30
162,5,3,1,11,31,12,19,00,24,00
163,5,4,1,1,31,3,00,00,07,00
164,5,4,1,1,31,3,10,30,13,30
165,5,4,1,1,31,3,19,00,24,00
166,5,4,1,4,31,10,00,00,24,00
167,5,4,1,11,31,12,00,00,07,00
168,5,4,1,11,31,12,10,30,13,30
169,5,4,1,11,31,12,19,00,24,00
170,5,5,1,1,31,3,00,00,07,00
171,5,5,1,1,31,3,10,30,13,30
172,5,5,1,1,31,3,19,00,24,00
173,5,5,1,4,31,10,00,00,24,00
174,5,5,1,11,31,12,00,00,07,00
175,5,5,1,11,31,12,10,30,13,30
176,5,5,1,11,31,12,19,00,24,00
177,5,6,1,1,31,3,00,00,24,00
178,5,6,1,4,31,10,00,00,24,00
179,5,6,1,11,31,12,00,00,24,00
180,5,7,1,1,31,3,00,00,24,00
181,5,7,1,4,31,10,00,00,24,00
182,5,7,1,11,31,12,00,00,24,00
183,6,1,1,1,31,3,00,00,07,00
184,6,1,1,1,31,3,13,00,16,00
185,6,1,1,1,31,3,19,00,24,00
186,6,1,1,4,31,10,00,00,24,00
187,6,1,1,11,31,12,00,00,07,00
188,6,1,1,11,31,12,13,00,16,00
189,6,1,1,11,31,12,19,00,24,00
190,6,2,1,1,31,3,00,00,07,00
191,6,2,1,1,31,3,13,00,16,00
192,6,2,1,1,31,3,19,00,24,00
193,6,2,1,4,31,10,00,00,24,00
194,6,2,1,11,31,12,00,00,07,00
195,6,2,1,11,31,12,13,00,16,00
196,6,2,1,11,31,12,19,00,24,00
197,6,3,1,1,31,3,00,00,07,00
198,6,3,1,1,31,3,13,00,16,00
199,6,3,1,1,31,3,19,00,24,00
200,6,3,1,4,31,10,00,00,24,00
201,6,3,1,11,31,12,00,00,07,00
202,6,3,1,11,31,12,13,00,16,00
203,6,3,1,11,31,12,19,00,24,00
204,6,4,1,1,31,3,00,00,07,00
205,6,4,1,1,31,3,13,00,16,00
206,6,4,1,1,31,3,19,00,24,00
207,6,4,1,4,31,10,00,00,24,00
208,6,4,1,11,31,12,00,00,07,00
209,6,4,1,11,31,12,13,00,16,00
210,6,4,1,11,31,12,19,00,24,00
211,6,5,1,1,31,3,00,00,07,00
212,6,5,1,1,31,3,13,00,16,00
213,6,5,1,1,31,3,19,00,24,00
214,6,5,1,4,31,10,00,00,24,00
215,6,5,1,11,31,12,00,00,07,00
216,6,5,1,11,31,12,13,00,16,00
217,6,5,1,11,31,12,19,00,24,00
218,6,6,1,1,31,3,00,00,24,00
219,6,6,1,4,31,10,00,00,24,00
220,6,6,1,11,31,12,00,00,24,00
221,6,7,1,1,31,3,00,00,24,00
222,6,7,1,4,31,10,00,00,24,00
223,6,7,1,11,31,12,00,00,24,00
224,7,1,1,1,31,3,00,00,07,00
225,7,1,1,1,31,3,14,00,17,00
226,7,1,1,1,31,3,19,00,24,00
227,7,1,1,4,31,10,00,00,24,00
228,7,1,1,11,31,12,00,00,07,00
229,7,1,1,11,31,12,14,00,17,00
230,7,1,1,11,31,12,19,00,24,00
231,7,2,1,1,31,3,00,00,07,00
232,7,2,1,1,31,3,14,00,17,00
233,7,2,1,1,31,3,19,00,24,00
234,7,2,1,4,31,10,00,00,24,00
235,7,2,1,11,31,12,00,00,07,00
236,7,2,1,11,31,12,14,00,17,00
237,7,2,1,11,31,12,19,00,24,00
238,7,3,1,1,31,3,00,00,07,00
239,7,3,1,1,31,3,14,00,17,00
240,7,3,1,1,31,3,19,00,24,00
241,7,3,1,4,31,10,00,00,24,00
242,7,3,1,11,31,12,00,00,07,00
243,7,3,1,11,31,12,14,00,17,00
244,7,3,1,11,31,12,19,00,24,00
245,7,4,1,1,31,3,00,00,07,00
246,7,4,1,1,31,3,14,00,17,00
247,7,4,1,1,31,3,19,00,24,00
248,7,4,1,4,31,10,00,00,24,00
249,7,4,1,11,31,12,00,00,07,00
250,7,4,1,11,31,12,14,00,17,00
251,7,4,1,11,31,12,19,00,24,00
252,7,5,1,1,31,3,00,00,07,00
253,7,5,1,1,31,3,14,00,17,00
254,7,5,1,1,31,3,19,00,24,00
255,7,5,1,4,31,10,00,00,24,00
256,7,5,1,11,31,12,00,00,07,00
257,7,5,1,11,31,12,14,00,17,00
258,7,5,1,11,31,12,19,00,24,00
259,7,6,1,1,31,3,00,00,24,00
260,7,6,1,4,31,10,00,00,24,00
261,7,6,1,11,31,12,00,00,24,00
262,7,7,1,1,31,3,00,00,24,00
263,7,7,1,4,31,10,00,00,24,00
264,7,7,1,11,31,12,00,00,24,00
265,8,1,1,1,29,2,00,00,07,00
266,8,1,1,1,29,2,19,00,24,00
